#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
 1725.0| 0.000542| 0.000000| 0.000542| 0.000000| 0.000000| 0.000000
 1730.0| 0.000392| 0.000000| 0.000392| 0.000000| 0.000000| 0.000000
 1735.0| 0.000537| 0.000000| 0.000537| 0.000000| 0.000000| 0.000000
 1740.0| 0.000644| 0.000000| 0.000644| 0.000000| 0.000000| 0.000000
 1745.0| 0.000613| 0.000000| 0.000613| 0.000000| 0.000000| 0.000000
 1750.0| 0.000679| 0.000000| 0.000679| 0.000000| 0.000000| 0.000000
 1755.0| 0.000654| 0.000000| 0.000654| 0.000000| 0.000000| 0.000000
 1760.0| 0.000611| 0.000000| 0.000611| 0.000000| 0.000000| 0.000000
 1765.0| 0.000577| 0.000000| 0.000577| 0.000000| 0.000000| 0.000000
 1770.0| 0.000506| 0.000000| 0.000506| 0.000000| 0.000000| 0.000000
 1775.0| 0.000578| 0.000000| 0.000578| 0.000000| 0.000000| 0.000000
 1780.0| 0.000612| 0.000000| 0.000612| 0.000000| 0.000000| 0.000000
 1785.0| 0.000560| 0.000000| 0.000560| 0.000000| 0.000000| 0.000000
 1790.0| 0.000640| 0.000000| 0.000640| 0.000000| 0.000000| 0.000000
 1795.0| 0.000678| 0.000000| 0.000678| 0.000000| 0.000000| 0.000000
 1800.0| 0.000903| 0.000000| 0.000903| 0.000000| 0.000000| 0.000000
 1805.0| 0.001987| 0.000000| 0.001987| 0.000000| 0.000000| 0.000000
 1810.0| 0.002827| 0.000000| 0.002827| 0.000000| 0.000000| 0.000000
 1815.0| 0.004028| 0.000000| 0.004028| 0.000000| 0.000000| 0.000000
 1820.0| 0.003784| 0.000000| 0.003784| 0.000000| 0.000000| 0.000000
 1825.0| 0.001407| 0.000000| 0.001407| 0.000000| 0.000000| 0.000000
 1830.0| 0.000983| 0.000000| 0.000983| 0.000000| 0.000000| 0.000000
 1835.0| 0.000872| 0.000000| 0.000872| 0.000000| 0.000000| 0.000000
 1840.0| 0.000889| 0.000000| 0.000889| 0.000000| 0.000000| 0.000000
 1845.0| 0.000896| 0.000000| 0.000896| 0.000000| 0.000000| 0.000000
